ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
Recommendation,ViT-Base,CPU,eu-west-1,2546,21,35.6,65,65,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,2902,4,47.2,17.1,84.4,Medium
Speech Recognition,ResNet-50,NVIDIA V100,us-west-2,1448,18,121.9,23.3,81.8,Medium
Computer Vision,ResNet-101,TPU v4,us-east-1,564,7,59.9,5.2,93.3,Low
NLP,ResNet-50,NVIDIA V100,us-east-1,1447,33,150,45,91.8,Low
NLP,BERT-base,NVIDIA RTX 4090,us-west-2,1008,21,70.2,14.7,90.3,Low
Computer Vision,ViT-Base,CPU,us-west-2,1496,19,41.4,65,82.1,High
Recommendation,GPT-3.5,NVIDIA V100,us-east-1,2518,32,150,65,82.4,Medium
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-east-1,1003,13,93.5,37.3,91,Low
NLP,BERT-large,NVIDIA V100,us-east-1,1558,26,150,65,85.8,Low
Speech Recognition,GPT-3.5,CPU,us-west-2,2491,6,17.9,49.7,74.9,High
Recommendation,BERT-base,NVIDIA V100,eu-west-1,1129,29,150,19.4,86.4,Low
NLP,GPT-3.5,CPU,us-east-1,1083,18,57.6,57.1,76.5,High
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-west-2,1317,17,150,65,88.4,Low
Recommendation,ResNet-50,NVIDIA A100,eu-west-1,788,21,150,28.7,90,Low
Recommendation,ViT-Base,CPU,ap-southeast-1,738,34,26.5,65,65,High
Computer Vision,BERT-base,CPU,ap-southeast-1,2234,12,23.9,65,78.3,High
NLP,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,732,25,150,14.9,84.6,Medium
Computer Vision,ResNet-101,NVIDIA A100,us-west-2,969,10,70.3,23.6,86.1,Low
NLP,ResNet-50,TPU v4,us-east-1,736,5,37.2,3.5,97,Low
NLP,ResNet-101,TPU v4,eu-west-1,2516,3,31.9,18.8,93.6,Low
NLP,BERT-large,NVIDIA V100,eu-west-1,206,3,5,3,88.2,Low
NLP,BERT-base,NVIDIA A100,us-west-2,2939,22,150,65,89.3,Low
NLP,BERT-large,NVIDIA V100,eu-west-1,1984,3,14.2,18.4,89.3,Low
Speech Recognition,ResNet-50,NVIDIA V100,ap-southeast-1,1382,27,150,65,90.4,Low
NLP,ResNet-50,TPU v4,us-east-1,599,32,142.4,25.6,96.1,Low
Computer Vision,GPT-3.5,TPU v4,eu-west-3,614,29,150,37.7,95.3,Low
Computer Vision,BERT-base,NVIDIA A100,ap-southeast-1,346,22,21.5,11,91.5,Low
NLP,BERT-large,CPU,us-west-2,2394,15,90.4,65,69.1,High
Recommendation,ResNet-101,NVIDIA A100,us-west-2,2924,7,87.1,50.8,86.3,Low
NLP,ResNet-50,NVIDIA A100,ap-southeast-1,2778,29,150,65,93.1,Low
NLP,ViT-Base,NVIDIA A100,ap-southeast-1,1085,31,120.8,25.8,96,Low
Computer Vision,ResNet-101,NVIDIA V100,us-east-1,2806,17,150,62.8,79.8,Medium
Speech Recognition,BERT-large,NVIDIA V100,us-west-2,1120,27,150,65,82.6,Medium
Computer Vision,ResNet-101,NVIDIA A100,eu-west-3,2130,3,18.8,4.4,95.4,Low
Recommendation,ViT-Base,NVIDIA A100,eu-west-3,1176,31,150,32.2,90.7,Low
Recommendation,BERT-large,NVIDIA V100,ap-southeast-1,1770,30,150,65,86.1,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-east-1,750,8,58.1,8,94.2,Low
Recommendation,GPT-3.5,NVIDIA A100,eu-west-1,1882,21,150,56.3,92.1,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-east-1,2156,13,150,65,86.7,Low
NLP,BERT-large,NVIDIA RTX 4090,eu-west-1,680,11,66,12.3,88.4,Low
Computer Vision,BERT-base,CPU,eu-west-1,1074,32,66.9,65,75.5,High
Recommendation,BERT-large,NVIDIA V100,eu-west-1,2265,24,121.8,65,82,Medium
Computer Vision,ViT-Base,TPU v4,eu-west-1,1854,32,150,58.1,93.4,Low
Computer Vision,ResNet-101,NVIDIA A100,ap-southeast-1,3262,17,150,65,92.5,Low
Speech Recognition,BERT-base,TPU v4,eu-west-1,2004,7,91.5,24,95.5,Low
Recommendation,ResNet-50,NVIDIA A100,eu-west-1,703,14,62,25,83.9,Medium
NLP,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,2860,16,150,65,85.2,Low
Speech Recognition,GPT-3.5,NVIDIA A100,eu-west-1,1471,21,150,65,85.3,Low
Speech Recognition,ViT-Base,NVIDIA V100,us-west-2,2993,15,150,65,79.3,Medium
NLP,GPT-3.5,TPU v4,us-east-1,1566,17,116,56.4,88.9,Low
Computer Vision,ResNet-101,TPU v4,eu-west-1,1692,15,150,42.5,89.9,Low
Recommendation,ViT-Base,TPU v4,us-west-2,2085,24,150,25.8,89.6,Low
NLP,ResNet-50,NVIDIA RTX 4090,us-east-1,1699,19,150,48.8,89.8,Low
Computer Vision,GPT-3.5,TPU v4,ap-southeast-1,2894,6,145.7,22.7,92,Low
Computer Vision,BERT-large,NVIDIA V100,us-east-1,1830,26,150,65,87.2,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,us-east-1,482,12,37.4,10.9,88,Low
Computer Vision,BERT-base,NVIDIA RTX 4090,us-west-2,3274,15,150,35.8,85.8,Low
NLP,GPT-3.5,CPU,us-east-1,1775,30,118.7,65,69.1,High
Speech Recognition,GPT-3.5,CPU,us-east-1,138,28,5,11.3,77.7,High
Computer Vision,ResNet-50,NVIDIA V100,eu-west-1,3116,7,41.7,12.2,84.4,Medium
Recommendation,GPT-3.5,CPU,ap-southeast-1,1198,19,66,65,76.3,High
NLP,GPT-3.5,NVIDIA A100,ap-southeast-1,112,17,7,3,90.5,Low
Recommendation,ResNet-101,CPU,eu-west-1,1453,8,21.4,50,67,High
NLP,ResNet-50,NVIDIA RTX 4090,eu-west-3,2072,10,72.1,25.8,85.6,Low
Recommendation,ViT-Base,TPU v4,us-east-1,2527,22,150,65,91.4,Low
Recommendation,ViT-Base,NVIDIA V100,us-east-1,1932,3,11.7,13.8,81.2,Medium
Speech Recognition,BERT-large,CPU,eu-west-3,495,20,23.5,40.4,65,High
Speech Recognition,BERT-base,NVIDIA RTX 4090,us-west-2,484,5,19.3,3.3,88.9,Low
Recommendation,ViT-Base,NVIDIA RTX 4090,eu-west-1,1831,34,150,65,88.4,Low
NLP,ResNet-101,NVIDIA V100,eu-west-3,166,34,65.5,5.6,89.1,Low
Computer Vision,ViT-Base,CPU,eu-west-1,2146,20,55.3,65,69.7,High
NLP,BERT-large,CPU,eu-west-3,1976,10,46,65,70.5,High
Recommendation,GPT-3.5,CPU,eu-west-1,187,3,5,3,65,High
Computer Vision,BERT-large,CPU,eu-west-3,152,28,9.3,24,65,High
Computer Vision,BERT-base,TPU v4,us-west-2,2121,8,107.2,22.5,96.6,Low
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,1592,11,150,21.1,91.2,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-3,1356,30,142.5,28.9,85.2,Low
NLP,GPT-3.5,CPU,us-east-1,1593,5,23.2,32.3,80.5,High
Speech Recognition,BERT-base,TPU v4,us-west-2,1389,29,150,60,93.3,Low
Computer Vision,ResNet-101,NVIDIA A100,eu-west-1,1875,10,61.6,24,83.2,Medium
Recommendation,ResNet-101,NVIDIA A100,eu-west-1,1091,14,96.4,9.7,91,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-1,496,29,66.1,19.5,90.1,Low
NLP,BERT-large,NVIDIA A100,ap-southeast-1,2747,32,150,65,96.2,Low
Recommendation,ViT-Base,NVIDIA A100,us-west-2,2403,16,150,41.2,86.9,Low
NLP,ResNet-101,TPU v4,eu-west-1,1536,24,150,50.9,87.1,Low
Computer Vision,GPT-3.5,CPU,us-west-2,2246,8,24.7,52.2,67.4,High
Recommendation,BERT-base,TPU v4,us-west-2,1430,11,81.2,28.5,93.8,Low
Computer Vision,GPT-3.5,TPU v4,us-east-1,687,31,150,12.3,97,Low
Computer Vision,BERT-large,NVIDIA A100,eu-west-1,1306,4,46.1,13.3,95.1,Low
Recommendation,GPT-3.5,CPU,eu-west-3,1213,30,73.1,65,71.4,High
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-east-1,1140,20,150,32.5,85.2,Low
Speech Recognition,ViT-Base,NVIDIA V100,ap-southeast-1,2898,17,150,65,83.9,Medium
Recommendation,ResNet-50,NVIDIA RTX 4090,eu-west-1,2120,32,150,65,84.1,Medium
NLP,ViT-Base,CPU,eu-west-1,897,11,7.2,30.7,79.9,High
Computer Vision,ResNet-101,NVIDIA V100,eu-west-3,1227,33,150,52.1,80.8,Medium
Recommendation,GPT-3.5,NVIDIA A100,us-east-1,2930,28,150,65,84.6,Medium
Recommendation,ResNet-101,TPU v4,ap-southeast-1,927,15,150,20.8,92.2,Low
Computer Vision,BERT-base,CPU,us-east-1,486,12,5.4,28.4,76.9,High
Recommendation,ViT-Base,TPU v4,ap-southeast-1,623,18,150,12.7,85.2,Low
Recommendation,ViT-Base,CPU,eu-west-3,370,30,16.8,32.9,71.2,High
NLP,ViT-Base,TPU v4,us-east-1,2514,7,150,30.7,97,Low
Speech Recognition,ViT-Base,TPU v4,us-east-1,2584,23,150,65,91.8,Low
NLP,ResNet-50,NVIDIA V100,eu-west-1,644,27,82.8,21.8,95.7,Low
Recommendation,BERT-base,TPU v4,eu-west-3,2073,6,70.1,9.1,89.7,Low
Computer Vision,ResNet-50,NVIDIA V100,us-east-1,2589,32,150,65,89.7,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-1,2760,23,150,65,88.4,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,us-east-1,850,35,150,57,88.2,Low
Computer Vision,ViT-Base,TPU v4,eu-west-1,2683,9,143.3,16.1,88.4,Low
Recommendation,ViT-Base,TPU v4,us-west-2,2821,7,120.9,15.5,84.1,Medium
Recommendation,BERT-base,CPU,us-west-2,1196,16,23,41.6,70.8,High
Computer Vision,ResNet-101,NVIDIA V100,us-east-1,2293,21,150,65,90.9,Low
NLP,ResNet-101,NVIDIA V100,eu-west-1,364,20,45.2,9.9,86.7,Low
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-1,1074,26,150,35.6,87.3,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,ap-southeast-1,2679,31,150,65,88.4,Low
Computer Vision,ResNet-101,NVIDIA A100,eu-west-3,2610,26,150,65,94.6,Low
NLP,BERT-base,CPU,eu-west-3,1076,33,78.1,65,68,High
NLP,ViT-Base,NVIDIA V100,us-east-1,1011,24,150,47.3,94,Low
Recommendation,ResNet-50,TPU v4,us-east-1,1906,12,150,40.6,89.9,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,eu-west-3,3516,11,150,39.8,87.1,Low
Recommendation,ViT-Base,NVIDIA V100,us-east-1,1258,16,124.7,20.4,82.7,Medium
Recommendation,ResNet-101,NVIDIA RTX 4090,ap-southeast-1,1771,12,63.7,23,82.2,Medium
Computer Vision,BERT-large,NVIDIA RTX 4090,us-west-2,1336,17,104.6,28.1,85.3,Low
Recommendation,ViT-Base,NVIDIA A100,us-west-2,2400,19,150,29.7,85,Low
Speech Recognition,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,1405,19,150,25.4,91.5,Low
Recommendation,ResNet-101,TPU v4,us-west-2,159,28,36.1,9.7,91.3,Low
Computer Vision,BERT-large,NVIDIA V100,ap-southeast-1,1314,21,150,65,89.8,Low
Recommendation,BERT-large,NVIDIA RTX 4090,ap-southeast-1,816,31,150,28.8,88.2,Low
Computer Vision,BERT-base,CPU,us-west-2,3096,27,60.5,65,67.7,High
Speech Recognition,ViT-Base,CPU,ap-southeast-1,2178,23,150,65,78.8,High
Speech Recognition,ViT-Base,NVIDIA V100,ap-southeast-1,751,34,150,35.1,86,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-west-2,1583,24,150,26.8,87.1,Low
Recommendation,GPT-3.5,TPU v4,eu-west-3,476,3,15.1,3,84.3,Medium
Speech Recognition,ViT-Base,NVIDIA A100,eu-west-3,2427,23,150,52,88.2,Low
NLP,ResNet-101,NVIDIA V100,eu-west-3,1564,4,41.9,7.1,81.1,Medium
NLP,BERT-large,CPU,ap-southeast-1,1290,25,26.1,65,68.4,High
Speech Recognition,ViT-Base,CPU,us-west-2,751,10,5.5,34.8,74,High
Speech Recognition,BERT-large,NVIDIA V100,ap-southeast-1,2908,10,150,65,86.1,Low
Recommendation,ResNet-50,NVIDIA A100,eu-west-1,1805,28,150,53.9,85.9,Low
Computer Vision,BERT-large,NVIDIA A100,us-east-1,808,8,49,16.4,85.5,Low
Computer Vision,BERT-base,TPU v4,eu-west-1,2130,23,150,65,97,Low
Recommendation,GPT-3.5,NVIDIA V100,eu-west-1,1872,24,150,65,78.3,Medium
Computer Vision,ViT-Base,NVIDIA A100,us-west-2,2073,15,150,15.4,88.2,Low
Speech Recognition,ResNet-101,TPU v4,us-east-1,2428,29,150,46.8,88.6,Low
Recommendation,ResNet-101,NVIDIA RTX 4090,us-west-2,2320,4,46.4,23.7,86,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,us-west-2,1038,35,150,65,84.7,Medium
Computer Vision,BERT-large,NVIDIA A100,eu-west-3,807,8,45.9,7,97,Low
Recommendation,BERT-base,CPU,ap-southeast-1,2838,8,58.7,65,71.3,High
Speech Recognition,ResNet-50,TPU v4,us-east-1,2008,35,150,65,88.9,Low
Recommendation,BERT-base,NVIDIA RTX 4090,eu-west-1,2134,9,150,29.3,80.5,Medium
Speech Recognition,ViT-Base,NVIDIA A100,ap-southeast-1,1628,12,150,41.7,91.3,Low
NLP,ResNet-101,NVIDIA A100,eu-west-3,1406,35,150,65,91.7,Low
Recommendation,ResNet-50,NVIDIA V100,us-west-2,425,16,58.3,10,83.5,Medium
Recommendation,GPT-3.5,CPU,us-west-2,854,28,43.7,65,65,High
Computer Vision,ViT-Base,TPU v4,ap-southeast-1,394,21,114.3,10.9,93.9,Low
Computer Vision,BERT-base,NVIDIA V100,eu-west-3,1350,4,16.7,4.8,90.1,Low
Recommendation,ResNet-50,TPU v4,ap-southeast-1,2168,13,143.5,57.1,90.4,Low
Speech Recognition,GPT-3.5,CPU,eu-west-3,1056,12,34.7,60.8,75.1,High
Recommendation,GPT-3.5,NVIDIA A100,eu-west-1,755,29,145.1,60.4,95.1,Low
Recommendation,ResNet-50,TPU v4,eu-west-3,2818,35,150,65,90.4,Low
Speech Recognition,BERT-large,NVIDIA RTX 4090,us-east-1,588,14,79.1,16.9,91.9,Low
Speech Recognition,BERT-large,NVIDIA V100,us-east-1,2333,33,150,65,87.5,Low
Computer Vision,ResNet-101,NVIDIA V100,us-east-1,530,31,57.3,50.4,87.1,Low
Computer Vision,BERT-base,NVIDIA A100,eu-west-1,1046,7,67.3,7.8,89.8,Low
Computer Vision,ResNet-50,TPU v4,us-west-2,2464,12,124.6,34.6,96.9,Low
Speech Recognition,GPT-3.5,CPU,ap-southeast-1,919,27,24,65,72.8,High
NLP,GPT-3.5,NVIDIA RTX 4090,eu-west-3,1289,19,150,50.5,96.6,Low
NLP,BERT-base,CPU,eu-west-3,1717,34,94.8,65,67.3,High
Computer Vision,BERT-base,NVIDIA V100,ap-southeast-1,2091,16,150,55.4,83,Medium
Computer Vision,BERT-large,TPU v4,us-east-1,1718,12,124.9,40.2,96.4,Low
Recommendation,ViT-Base,TPU v4,eu-west-1,1012,32,150,27.1,84.3,Medium
Recommendation,ResNet-101,NVIDIA V100,eu-west-3,1396,10,139.5,51.7,79.4,Medium
NLP,BERT-large,CPU,eu-west-1,161,26,7.8,18.3,66.8,High
Computer Vision,ResNet-101,CPU,ap-southeast-1,1675,33,99.1,65,73.4,High
NLP,BERT-large,CPU,us-east-1,683,25,48.6,65,65,High
Speech Recognition,BERT-base,CPU,ap-southeast-1,106,4,5,3,67.3,High
NLP,ResNet-50,TPU v4,eu-west-1,1189,5,35.1,6.8,92.5,Low
Speech Recognition,BERT-large,NVIDIA A100,us-west-2,1745,10,150,8,89.5,Low
Recommendation,ResNet-50,NVIDIA V100,us-west-2,1471,12,78.2,26,84.3,Medium
Computer Vision,ViT-Base,NVIDIA A100,us-east-1,2817,18,150,65,88.3,Low
Speech Recognition,ResNet-101,NVIDIA A100,us-east-1,2547,28,150,65,89.8,Low
NLP,ViT-Base,NVIDIA RTX 4090,ap-southeast-1,2594,7,93.5,46.6,89.1,Low
Computer Vision,BERT-base,NVIDIA V100,us-east-1,261,31,66.9,24.9,89.3,Low
Computer Vision,ResNet-50,NVIDIA RTX 4090,us-east-1,2852,33,150,65,83.1,Medium
NLP,GPT-3.5,NVIDIA A100,ap-southeast-1,806,13,112.2,12.8,96.5,Low
Speech Recognition,GPT-3.5,CPU,eu-west-3,1323,30,96.6,65,74.4,High
Computer Vision,BERT-base,NVIDIA RTX 4090,us-west-2,368,6,14.7,3.7,86.6,Low
Recommendation,ResNet-50,NVIDIA RTX 4090,eu-west-3,1949,17,85.1,65,81.7,Medium
Recommendation,BERT-large,NVIDIA RTX 4090,eu-west-1,1567,33,150,65,92,Low
NLP,ViT-Base,NVIDIA RTX 4090,eu-west-1,2550,35,150,65,90.8,Low
Recommendation,ResNet-101,CPU,eu-west-3,673,21,25.2,65,65,High
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-east-1,2684,4,30.3,11.7,79.5,Medium
Speech Recognition,ResNet-50,NVIDIA V100,eu-west-3,1046,20,37.8,26.5,79.6,Medium
Speech Recognition,BERT-large,TPU v4,ap-southeast-1,405,29,122.2,3.9,94.3,Low
Recommendation,GPT-3.5,NVIDIA RTX 4090,eu-west-3,920,28,101.2,20.6,84.6,Medium
Speech Recognition,ResNet-101,NVIDIA RTX 4090,us-west-2,1821,32,150,65,87.4,Low
Recommendation,BERT-base,CPU,eu-west-3,2776,8,39.6,65,71.7,High
NLP,ViT-Base,TPU v4,eu-west-1,994,4,50,5.5,96.7,Low
Speech Recognition,GPT-3.5,TPU v4,ap-southeast-1,2056,32,150,65,90.3,Low
NLP,BERT-base,TPU v4,ap-southeast-1,426,3,8.6,3,95.1,Low
NLP,ViT-Base,TPU v4,ap-southeast-1,1570,15,150,43.6,92.8,Low
Computer Vision,BERT-large,TPU v4,ap-southeast-1,2557,21,150,37.1,89.3,Low
Computer Vision,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,613,35,150,38.2,86.9,Low
Recommendation,ViT-Base,CPU,eu-west-1,2420,4,13.2,40.9,69.8,High
Speech Recognition,GPT-3.5,NVIDIA A100,us-east-1,1486,8,109.8,25.5,93.6,Low
NLP,GPT-3.5,NVIDIA A100,eu-west-3,2378,6,143.7,11.3,92.3,Low
Recommendation,ResNet-50,NVIDIA A100,ap-southeast-1,1472,31,150,65,79.7,Medium
Speech Recognition,BERT-large,NVIDIA RTX 4090,eu-west-3,1710,33,150,65,88.6,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-3,1784,16,150,65,93.1,Low
Speech Recognition,BERT-base,NVIDIA V100,us-east-1,2146,6,54.3,18.8,87.2,Low
Speech Recognition,ResNet-101,CPU,ap-southeast-1,1490,23,78.7,65,75.1,High
Computer Vision,BERT-base,CPU,us-west-2,1387,17,30.7,65,67.5,High
NLP,GPT-3.5,NVIDIA A100,us-east-1,672,12,57.3,5.9,89.8,Low
Recommendation,ResNet-101,NVIDIA V100,eu-west-3,2147,7,119.1,49.8,88.8,Low
NLP,GPT-3.5,NVIDIA V100,eu-west-3,2291,21,150,65,88.7,Low
Computer Vision,BERT-base,NVIDIA A100,eu-west-3,2264,17,150,65,88.4,Low
Speech Recognition,ViT-Base,NVIDIA V100,eu-west-3,2333,20,150,65,86.7,Low
Speech Recognition,ViT-Base,NVIDIA V100,eu-west-1,2309,20,150,65,80.4,Medium
NLP,ResNet-50,NVIDIA V100,ap-southeast-1,448,25,77.2,6.4,83.5,Medium
Recommendation,BERT-base,NVIDIA V100,us-east-1,1127,27,150,65,84.6,Medium
NLP,GPT-3.5,NVIDIA A100,eu-west-3,435,8,45.4,3,92.6,Low
Computer Vision,BERT-large,NVIDIA V100,us-west-2,1270,17,150,50.4,87.5,Low
NLP,GPT-3.5,NVIDIA A100,ap-southeast-1,1511,30,150,65,91.3,Low
NLP,ResNet-50,CPU,us-west-2,1107,33,85.1,65,70.7,High
Computer Vision,ViT-Base,NVIDIA A100,ap-southeast-1,2845,14,150,42.2,95.5,Low
Recommendation,BERT-large,NVIDIA V100,us-east-1,202,7,14.4,3,83.7,Medium
Computer Vision,ViT-Base,NVIDIA A100,ap-southeast-1,480,15,55.2,15.5,96,Low
Computer Vision,BERT-base,TPU v4,us-east-1,3033,11,150,17.7,89.2,Low
Speech Recognition,BERT-large,TPU v4,us-west-2,2144,28,150,65,93,Low
NLP,ResNet-50,NVIDIA A100,us-west-2,896,34,150,46.6,91.9,Low
Speech Recognition,BERT-base,NVIDIA RTX 4090,eu-west-1,525,25,107.4,32.1,95.9,Low
NLP,ResNet-50,NVIDIA A100,eu-west-3,1389,21,150,65,92.4,Low
Recommendation,BERT-large,CPU,us-east-1,1420,19,32.2,65,72.6,High
Recommendation,BERT-base,NVIDIA V100,us-east-1,2067,34,116,65,87.1,Low
Recommendation,ResNet-101,TPU v4,ap-southeast-1,239,21,20.5,9.6,86.3,Low
NLP,ViT-Base,CPU,eu-west-1,614,15,8.9,46,68.6,High
Recommendation,ResNet-50,TPU v4,eu-west-3,1893,5,77.1,10.7,87.2,Low
NLP,GPT-3.5,NVIDIA RTX 4090,ap-southeast-1,2132,5,37.6,33.7,89.2,Low
NLP,ResNet-50,NVIDIA V100,eu-west-3,973,29,150,50.9,94.6,Low
NLP,ViT-Base,CPU,eu-west-1,1319,31,22.3,65,71.1,High
Speech Recognition,BERT-base,NVIDIA V100,us-east-1,544,24,79.2,17.2,87.4,Low
Computer Vision,ViT-Base,NVIDIA RTX 4090,us-east-1,274,5,13.8,3,85.5,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-east-1,1215,35,150,41.1,85.9,Low
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-3,2634,24,150,65,78.7,Medium
Computer Vision,ViT-Base,CPU,eu-west-3,890,6,7.1,28.6,65.9,High
Speech Recognition,ViT-Base,NVIDIA RTX 4090,eu-west-3,924,34,150,65,94,Low
NLP,BERT-base,NVIDIA A100,ap-southeast-1,336,21,84.3,9.3,94.4,Low
Speech Recognition,ResNet-101,NVIDIA V100,eu-west-3,1753,18,89.8,31.4,89.3,Low
Recommendation,BERT-base,NVIDIA V100,us-west-2,1088,18,150,41.9,81.3,Medium
Speech Recognition,BERT-base,NVIDIA A100,eu-west-1,2596,27,150,65,92.8,Low
Speech Recognition,BERT-large,NVIDIA A100,ap-southeast-1,1511,27,150,65,87.2,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-3,239,4,12.3,3,84.3,Medium
Recommendation,GPT-3.5,NVIDIA A100,us-west-2,1654,9,150,15,81.3,Medium
NLP,BERT-large,NVIDIA V100,eu-west-3,119,32,34.7,4.2,87.9,Low
Computer Vision,GPT-3.5,CPU,eu-west-1,2715,34,150,65,72.6,High
Recommendation,ResNet-50,NVIDIA V100,eu-west-3,485,18,87.7,25.6,81.6,Medium
Computer Vision,ViT-Base,NVIDIA A100,ap-southeast-1,828,30,150,58.3,89.4,Low
Computer Vision,ResNet-101,NVIDIA V100,eu-west-1,1742,23,150,65,84,Medium
Recommendation,BERT-large,TPU v4,ap-southeast-1,2000,4,84.7,5.8,82.3,Medium
Recommendation,GPT-3.5,NVIDIA V100,us-west-2,2735,20,150,65,91.8,Low
Recommendation,ResNet-50,TPU v4,us-west-2,1386,9,54,9.2,93.6,Low
Recommendation,BERT-base,NVIDIA V100,ap-southeast-1,2844,25,150,65,81.7,Medium
NLP,GPT-3.5,NVIDIA V100,us-west-2,2780,17,111.6,37.1,88.1,Low
Computer Vision,ResNet-101,CPU,eu-west-3,2991,6,35.6,63.3,74.9,High
Recommendation,ViT-Base,NVIDIA V100,eu-west-3,2830,24,150,65,84.4,Medium
Computer Vision,ResNet-101,NVIDIA V100,us-west-2,1585,7,20.8,30.9,78.6,Medium
Computer Vision,ResNet-101,NVIDIA A100,eu-west-3,1520,15,150,63.1,89.6,Low
Recommendation,ViT-Base,CPU,eu-west-3,2644,34,150,65,73,High
Computer Vision,BERT-base,NVIDIA V100,eu-west-1,232,9,16.6,3.8,92.1,Low
Speech Recognition,BERT-base,CPU,us-west-2,2618,3,5,32.3,74.6,High
Recommendation,ResNet-101,TPU v4,us-east-1,2758,7,114.1,15.2,85.8,Low
NLP,ResNet-50,CPU,us-east-1,520,22,25,65,79.6,High
Speech Recognition,ResNet-50,TPU v4,eu-west-3,2220,33,150,43.3,96,Low
Computer Vision,ViT-Base,NVIDIA A100,eu-west-1,1984,29,150,65,86.3,Low
Speech Recognition,ViT-Base,NVIDIA A100,us-east-1,2794,8,150,35.9,83.5,Medium
Speech Recognition,BERT-large,TPU v4,us-west-2,2605,22,150,65,93.5,Low
Speech Recognition,ResNet-50,NVIDIA A100,eu-west-1,495,32,150,43.6,90.9,Low
Recommendation,BERT-large,NVIDIA A100,ap-southeast-1,1340,21,150,14,93.4,Low
Recommendation,BERT-large,NVIDIA A100,eu-west-1,1207,24,123.8,27.6,84.9,Medium
Computer Vision,BERT-large,NVIDIA A100,eu-west-3,248,35,60.4,23.4,92.8,Low
NLP,ResNet-101,TPU v4,us-west-2,1086,10,45.9,22.8,95.8,Low
Speech Recognition,ResNet-50,NVIDIA RTX 4090,eu-west-3,1133,11,77.9,22.2,86.1,Low
Recommendation,ViT-Base,NVIDIA V100,ap-southeast-1,678,31,150,41.5,83.8,Medium
Computer Vision,ResNet-101,NVIDIA A100,us-east-1,145,22,11.9,3,93.5,Low
Recommendation,BERT-base,NVIDIA A100,eu-west-3,524,8,30.3,7.8,89.2,Low
Recommendation,BERT-large,TPU v4,eu-west-1,1853,11,112.9,26.9,88.9,Low
Speech Recognition,ResNet-101,CPU,ap-southeast-1,1591,4,17.4,35.6,74.3,High
Computer Vision,BERT-base,NVIDIA A100,ap-southeast-1,3483,21,150,65,87.4,Low
Recommendation,ResNet-50,NVIDIA A100,eu-west-1,211,29,35.4,15.8,92.8,Low
Recommendation,BERT-large,TPU v4,ap-southeast-1,1853,9,150,9.9,87,Low
NLP,BERT-large,NVIDIA V100,ap-southeast-1,1474,11,48.3,17.1,79.4,Medium
Computer Vision,ViT-Base,TPU v4,us-east-1,1940,19,150,63,89.9,Low
Recommendation,ResNet-50,NVIDIA V100,ap-southeast-1,102,35,25.4,3.2,86.7,Low
Recommendation,BERT-large,NVIDIA A100,us-east-1,2413,23,150,65,83,Medium
Computer Vision,ResNet-101,NVIDIA V100,us-west-2,181,17,13.8,5.8,85.4,Low
Recommendation,BERT-large,CPU,us-west-2,1736,9,35.7,65,72.6,High
NLP,GPT-3.5,NVIDIA V100,eu-west-1,1510,22,150,65,94,Low
Speech Recognition,GPT-3.5,NVIDIA A100,eu-west-3,2397,32,150,65,88.9,Low
Recommendation,BERT-base,NVIDIA A100,ap-southeast-1,932,5,35.3,7.5,94.7,Low
Computer Vision,ResNet-101,CPU,eu-west-1,3163,27,150,65,77.3,High
Speech Recognition,ResNet-50,NVIDIA RTX 4090,us-west-2,1242,8,40.9,28,92.4,Low
Recommendation,BERT-large,TPU v4,us-west-2,2172,3,89.6,15.2,94.5,Low
Computer Vision,BERT-large,CPU,us-east-1,2610,11,66.1,65,69.1,High
Speech Recognition,ViT-Base,NVIDIA V100,eu-west-3,2335,23,150,31.3,87.1,Low
